+--+----------------+
|id|remaining_volume|
+--+----------------+
|1 |0               |
|2 |0               |
|3 |0               |
|4 |0               |
|5 |0               |
|6 |0               |
|7 |0               |
|8 |0               |
|9 |0               |
|10|0               |
|11|155             |
|12|100             |
|13|100             |
|14|155             |
|15|205             |
|16|50              |
|17|0               |
|18|0               |
|19|0               |
|20|155             |
|21|0               |
|22|0               |
|23|0               |
|24|0               |
|25|0               |
|26|0               |
|27|245             |
|28|245             |
|29|10              |
|30|10              |
|31|0               |
|32|0               |
|33|0               |
|34|0               |
|35|0               |
|36|0               |
|37|50              |
|38|235             |
|39|21              |
|40|205             |
|41|155             |
|42|55              |
|43|155             |
|44|215             |
|45|175             |
|46|215             |
|47|205             |
|48|254             |
|49|155             |
|50|55              |
|51|155             |
|52|255             |
|53|255             |
|54|255             |
+--+----------------+
